Palette Name,Type,Background,Surface/Card,Primary Accent,Secondary Accent,Text Color
"Golden Horizon","Bold / Artistic",#FFF6DE,#8BDFDD,#F48F68,#FFE394,#000000
"Retro Vibes","Pastel / Soft",#0A7C6E,#F59E0B,#FF6B35,#FAFAFA,#FFFFFF
"Sunset Glow","Minimal / Clean",#FFEA6C,#FFFBA7,#FFA6FB,#FF61F8,#000000
"Vintage Vibes","Neon / Cyberpunk",#5B7E3C,#FFD65A,#FF9D23,#EA5252,#FFFFFF
"Sunset Nights","Pastel / Soft",#7F2020,#869B7E,#C9CAAC,#F6F3EB,#FFFFFF
"Azure Flux","Neon / Cyberpunk",#8A5F41,#A77F60,#F3E4C9,#CCD67F,#FFFFFF
"Summer Storm","Minimal / Clean",#FFFAF0,#E03F4F,#81912F,#F8C463,#000000
"Crystal Nights","Corporate / Tech",#093C5D,#3B7597,#6FD1D7,#5DF8D8,#FFFFFF
"Shadow Nights","Earth / Nature",#F5F5F5,#DFF1F1,#BBD5DA,#FF0000,#000000
"Emerald Horizon","Neon / Cyberpunk",#D6336C,#FF4081,#FFB6C1,#FFF5F8,#FFFFFF
"Forest Breeze","Light Mode",#202940,#4B4038,#9A8678,#CAAA98,#FFFFFF
"Ocean Frost","Corporate / Tech",#934761,#AD5C71,#72BAA9,#D5E7B5,#FFFFFF
"Crimson Realm","Pastel / Soft",#FFE97D,#FFEF9F,#E13F7C,#FF537B,#000000
"Midnight Glow","Earth / Nature",#744577,#F0E9B6,#ACCFA3,#84C5B1,#FFFFFF
"Royal Horizon","Light Mode",#1E104E,#452E5A,#FF653F,#FFC85C,#FFFFFF
"Sunset Dawn","Minimal / Clean",#35858E,#7DA78C,#C2D099,#E6EEC9,#FFFFFF
"Velvet Core","Pastel / Soft",#170C79,#EFE3CA,#56B6C6,#8ACBD0,#FFFFFF
"Pastel Vibes","Bold / Artistic",#AAFFC7,#67C090,#215B63,#124170,#000000
"Autumn Vibes","Light Mode",#427AB5,#406AAF,#F7DD7D,#FFE8BE,#FFFFFF
"Retro Storm","Minimal / Clean",#E8EDF2,#2C3947,#547A95,#C2A56D,#000000
"Pastel Frost","Warm / Cozy",#462C7D,#831C91,#D552A3,#FF70BF,#FFFFFF
"Golden Dawn","Bold / Artistic",#5B7E3C,#A2CB8B,#E8F5BD,#C44545,#FFFFFF
"Autumn Dusk","Pastel / Soft",#EDE9E6,#C9996B,#5C4F4A,#5C766D,#000000
"Neon Dusk","Cool / Fresh",#468432,#9AD872,#FFEF91,#FFA02E,#FFFFFF
"Autumn Wave","Neon / Cyberpunk",#2F2FE4,#162E93,#1A1953,#080616,#FFFFFF
"Vintage Pulse","Corporate / Tech",#FF9A86,#FFB399,#FFD6A6,#FFF0BE,#000000
"Midnight Dusk","Earth / Nature",#B5E18B,#F0FFC2,#EAE6BC,#28396C,#000000
"Forest Dawn","Minimal / Clean",#C0E1D2,#E5EEE4,#F6F4E8,#DC9B9B,#000000
"Azure Dusk","Dark Mode",#FFF1D3,#FFB090,#CA5995,#5D1C6A,#000000
"Cosmic Core","Pastel / Soft",#1F6F5F,#2FA084,#6FCF97,#EEEEEE,#FFFFFF
"Velvet Frost","Warm / Cozy",#9ED3DC,#FEFD99,#FCB7C7,#CA6180,#000000
"Silver Aura","Warm / Cozy",#FFEDCE,#FFC193,#FF8383,#FF3737,#000000
"Pastel Glow","Minimal / Clean",#A47251,#DD9E59,#F0D8A1,#DCF0C3,#FFFFFF
"Desert Wave","Light Mode",#454040,#605B51,#D8D365,#E6F082,#FFFFFF
"Azure Dawn","Pastel / Soft",#546B41,#99AD7A,#DCCCAC,#FFF8EC,#FFFFFF
"Summer Vibes","Minimal / Clean",#E87F24,#FFC81E,#FEFDDF,#73A5CA,#000000
"Spring Storm","Pastel / Soft",#F9B2D7,#CFECF3,#DAF9DE,#F6FFDC,#000000
"Crimson Dream","Bold / Artistic",#3852B4,#5E7AC4,#F3BE7A,#F08D39,#FFFFFF
"Tech Glow","Pastel / Soft",#6E1A37,#AE2448,#72BAA9,#D5E7B5,#FFFFFF
"Cyber Horizon","Light Mode",#021A54,#FF85BB,#FFCEE3,#F5F5F5,#FFFFFF
"Neon Horizon","Bold / Artistic",#346739,#79AE6F,#9FCB98,#F2EDC2,#FFFFFF
"Tech Pulse","Light Mode",#7DAACB,#E8DBB3,#FFFDEB,#CE2626,#000000
"Spring Aura","Corporate / Tech",#F13E93,#F891BB,#F9D0CD,#FAFFCB,#FFFFFF
"Crimson Core","Pastel / Soft",#9AB17A,#C3CC9B,#E4DFB5,#FBE8CE,#000000
"Sunset Core","Earth / Nature",#A98B76,#BFA28C,#F3E4C9,#BABF94,#000000
"Crimson Shift","Earth / Nature",#03AED2,#F8DE22,#F45B26,#D12052,#FFFFFF
"Crystal Breeze","Corporate / Tech",#FAE251,#D75656,#BD114A,#EEEEEE,#000000
"Velvet Storm","Dark Mode",#FE81D4,#FAACBF,#FBC3C1,#FFEABB,#000000
"Vintage Aura","Minimal / Clean",#FFDE42,#4C5C2D,#313E17,#1B0C0C,#000000
"Vintage Realm","Warm / Cozy",#2F6B3F,#7FB77E,#F7C85C,#FFF6C0,#FFFFFF
"Silver Spark","Light Mode",#DB1A1A,#FFF6F6,#8CC7C4,#2C687B,#FFFFFF
"Shadow Storm","Warm / Cozy",#F2EAE0,#B4D3D9,#BDA6CE,#9B8EC7,#000000
"Crimson Flux","Dark Mode",#FFC570,#EFD2B0,#547792,#1A3263,#000000
"Winter Shift","Minimal / Clean",#091413,#285A48,#408A71,#B0E4CC,#FFFFFF
"Vintage Horizon","Neon / Cyberpunk",#2FA4D7,#F5E9D8,#3E2C23,#E76F2E,#000000
"Vintage Horizon","Dark Mode",#406093,#4C8CE4,#91D06C,#FFF799,#FFFFFF
"Golden Wave","Earth / Nature",#C44A3A,#D97A2B,#F2D479,#6FAF4F,#FFFFFF
"Sunset Flux","Warm / Cozy",#003049,#D62828,#F77F00,#FCBF49,#FFFFFF
"Forest Dawn","Cool / Fresh",#5E0006,#9B0F06,#D53E0F,#EED9B9,#FFFFFF
"Crimson Glow","Dark Mode",#FFF8F0,#C08552,#8C5A3C,#4B2E2B,#000000
"Emerald Flare","Dark Mode",#281C59,#4E8D9C,#85C79A,#EDF7BD,#FFFFFF
"Velvet Dawn","Warm / Cozy",#FFDE42,#53CBF3,#5478FF,#111FA2,#000000
"Silver Vibes","Warm / Cozy",#FE9EC7,#F9F6C4,#89D4FF,#44ACFF,#000000
"Azure Pulse","Cool / Fresh",#EEFABD,#A0D585,#6984A9,#263B6A,#000000
"Desert Spark","Neon / Cyberpunk",#81A6C6,#AACDDC,#F3E3D0,#D2C4B4,#000000
"Crystal Aura","Dark Mode",#F7F6E5,#76D2DB,#DA4848,#36064D,#000000
"Neon Nights","Cool / Fresh",#1A05A2,#8F0177,#DE1A58,#F67D31,#FFFFFF
"Neon Realm","Warm / Cozy",#F3F4F4,#853953,#612D53,#2C2C2C,#000000
"Royal Storm","Corporate / Tech",#FF5A5A,#FF8B5A,#FFA95A,#FFD45A,#000000
"Golden Pulse","Corporate / Tech",#D96868,#FBF6F6,#6A7E3F,#4C5C2D,#000000
"Ocean Breeze","Pastel / Soft",#6367FF,#8494FF,#C9BEFF,#FFDBFD,#FFFFFF
"Cyber Echo","Pastel / Soft",#41431B,#AEB784,#E3DBBB,#F8F3E1,#FFFFFF
"Autumn Frost","Dark Mode",#FF3E9B,#FF88BA,#3A8B95,#66D0BC,#000000
"Shadow Aura","Minimal / Clean",#FFFBF1,#FFF2D0,#FFB2B2,#E36A6A,#000000
"Spring Dawn","Warm / Cozy",#84B179,#A2CB8B,#C7EABB,#E8F5BD,#000000
"Emerald Glow","Neon / Cyberpunk",#C00707,#FF4400,#FFB33F,#134E8E,#FFFFFF
"Azure Horizon","Warm / Cozy",#237227,#519A66,#FFAA00,#FFD786,#FFFFFF
"Crystal Storm","Pastel / Soft",#87B6BC,#BED4CB,#F6F09F,#B35656,#000000
"Vintage Frost","Corporate / Tech",#8A7650,#8E977D,#ECE7D1,#DBCEA5,#FFFFFF
"Neon Pulse","Pastel / Soft",#355872,#7AAACE,#9CD5FF,#F7F8F0,#FFFFFF
"Desert Spark","Minimal / Clean",#FFD400,#FFC300,#FF8C00,#FF5F00,#000000
"Pastel Glow","Cool / Fresh",#25671E,#48A111,#F2B50B,#F7F0F0,#FFFFFF
"Desert Realm","Bold / Artistic",#EB4C4C,#FF7070,#FFA6A6,#FFEDC7,#FFFFFF
"Sunset Aura","Bold / Artistic",#F4F0E4,#44A194,#537D96,#EC8F8D,#000000
"Vintage Horizon","Neon / Cyberpunk",#1C0770,#261CC1,#3A9AFF,#F1FF5E,#FFFFFF
"Sunset Pulse","Minimal / Clean",#A82323,#FEFFD3,#BCD9A2,#6D9E51,#FFFFFF
"Midnight Echo","Dark Mode",#F26076,#FF9760,#FFD150,#458B73,#000000
"Pastel Core","Earth / Nature",#BF4646,#EDDCC6,#FFF4EA,#7EACB5,#FFFFFF
"Midnight Breeze","Earth / Nature",#3D45AA,#DA3D20,#F8843F,#FFF19B,#FFFFFF
"Forest Breeze","Cool / Fresh",#0B2D72,#0992C2,#0AC4E0,#F6E7BC,#FFFFFF
"Neon Nights","Warm / Cozy",#FFF7CD,#FDC3A1,#FB9B8F,#F57799,#000000
"Azure Dream","Corporate / Tech",#8100D1,#B500B2,#FF52A0,#FFA47F,#FFFFFF
"Winter Nights","Dark Mode",#005F02,#427A43,#C0B87A,#F2E3BB,#FFFFFF
"Neon Shift","Dark Mode",#0D1A63,#1A2CA3,#2845D6,#F68048,#FFFFFF
"Emerald Wave","Dark Mode",#FF5B5B,#F0FFC3,#9CCFFF,#685AFF,#000000
"Royal Pulse","Bold / Artistic",#FFFDF1,#FFCE99,#FF9644,#562F00,#000000
"Royal Frost","Dark Mode",#254F22,#A03A13,#F5824A,#EDE4C2,#FFFFFF
"Forest Storm","Neon / Cyberpunk",#FF7F11,#ACBFA4,#E2E8CE,#262626,#000000
"Neon Frost","Dark Mode",#15173D,#982598,#E491C9,#F1E9E9,#FFFFFF
"Golden Horizon","Neon / Cyberpunk",#09637E,#088395,#7AB2B2,#EBF4F6,#FFFFFF
"Spring Dream","Warm / Cozy",#6CA651,#BBCB2E,#839705,#6B7445,#000000
"Neon Frost","Minimal / Clean",#EAEFEF,#BFC9D1,#25343F,#FF9B51,#000000
"Desert Dawn","Cool / Fresh",#1A3263,#547792,#FAB95B,#E8E2DB,#FFFFFF
"Forest Flare","Cool / Fresh",#280905,#740A03,#C3110C,#E6501B,#FFFFFF
"Shadow Echo","Cool / Fresh",#576A8F,#B7BDF7,#FFF8DE,#FF7444,#FFFFFF
"Royal Horizon","Light Mode",#BFC6C4,#E8E2D8,#6F8F72,#F2A65A,#000000
"Ocean Nights","Minimal / Clean",#40513B,#628141,#E5D9B6,#E67E22,#FFFFFF
"Autumn Realm","Corporate / Tech",#C40C0C,#FF6500,#CC561E,#F6CE71,#FFFFFF
"Spring Dusk","Pastel / Soft",#30364F,#ACBAC4,#E1D9BC,#F0F0DB,#FFFFFF
"Neon Breeze","Neon / Cyberpunk",#F075AE,#F7DB91,#FFFDCE,#9BC264,#000000
"Desert Echo","Pastel / Soft",#A5C89E,#FFFBB1,#D8E983,#AEB877,#000000
"Golden Dream","Pastel / Soft",#FAF3E1,#F5E7C6,#FA8112,#222222,#000000
"Summer Vibes","Dark Mode",#ECECEC,#84934A,#656D3F,#492828,#000000
"Desert Frost","Dark Mode",#362F4F,#5B23FF,#008BFF,#E4FF30,#FFFFFF
