Palette Name,Type,Background,Surface/Card,Primary Accent,Secondary Accent,Text Color
Tech Frost Bold,Bold / Artistic,#0b3f2d,#157253,#ff1966,#FFFFFF,#FFFFFF
Vintage Lagoon Dark,Dark / Professional,#231d1d,#3c3232,#27dede,#e372e5,#F5F5F5
Dark Midnight Dark,Dark / Professional,#0d0d0b,#1c1c18,#cdf019,#72d4e5,#F5F5F5
Elegant Velvet Light,Light / SaaS,#FFFFFF,#F4F6F8,#29bba2,#e52d4c,#1A202C
Deep Mist Dark,Dark / Professional,#1a1d1c,#2f3534,#e82a4a,#88e572,#F5F5F5
Natural Sunset Dark,Dark / Professional,#1f1f1a,#37372e,#99d01a,#72c5e5,#F5F5F5
Zen Nebula Light,Light / SaaS,#FFFFFF,#F4F6F8,#18b782,#e52d6b,#1A202C
Silent Velvet Bold,Bold / Artistic,#095021,#108336,#ff19b2,#FFFFFF,#FFFFFF
Ocean Forest Dark,Dark / Professional,#151214,#2f272c,#e522de,#e3e572,#F5F5F5
Zen Canvas Light,Light / SaaS,#FFFFFF,#F4F6F8,#1577d9,#e5892d,#1A202C
Deep Sunset Dark,Dark / Professional,#151616,#212424,#4ae2b4,#c072e5,#F5F5F5
Royal Shadow Dark,Dark / Professional,#1d1a1c,#2b2629,#e04c82,#9fe572,#F5F5F5
Deep Forest Dark,Dark / Professional,#1e1c1d,#363233,#3de5ad,#bc72e5,#F5F5F5
Urban Nebula Bold,Bold / Artistic,#460430,#790753,#19ff65,#FFFFFF,#FFFFFF
Deep Lagoon Dark,Dark / Professional,#151517,#232427,#3c24d7,#e57f72,#F5F5F5
Future Shadow Dark,Dark / Professional,#191d1f,#282f33,#2d79fe,#e5729f,#F5F5F5
Modern Copper Light,Light / SaaS,#FFFFFF,#F4F6F8,#5622bf,#a8e52d,#1A202C
Dark Nebula Dark,Dark / Professional,#0e0f0e,#20211f,#d2d832,#72e3e5,#F5F5F5
Tech Steel Dark,Dark / Professional,#232524,#3b3f3d,#3eddbd,#cc72e5,#F5F5F5
Natural Velvet Dark,Dark / Professional,#1e2025,#2b2e35,#daaa49,#72e5bc,#F5F5F5
Dark Steel Light,Light / SaaS,#FFFFFF,#F4F6F8,#d42744,#2de5c6,#1A202C
Vibrant Obsidian Light,Light / SaaS,#FFFFFF,#F4F6F8,#415bdb,#e5c62d,#1A202C
Corporate Shadow Dark,Dark / Professional,#10110f,#252624,#3bdb35,#7278e5,#F5F5F5
Vintage Mist Light,Light / SaaS,#FFFFFF,#F4F6F8,#3acd84,#e52d89,#1A202C
Urban Sunset Dark,Dark / Professional,#110f11,#292329,#d72fa4,#c5e572,#F5F5F5
Slate Quartz Dark,Dark / Professional,#1d1b1d,#2e2b2f,#8743fb,#e59a72,#F5F5F5
Tech Sunset Dark,Dark / Professional,#1d1d19,#35352e,#f7f728,#72e5e3,#F5F5F5
Slate Forest Light,Light / SaaS,#FFFFFF,#F4F6F8,#9241e3,#89e52d,#1A202C
Slate Copper Dark,Dark / Professional,#1e1b1c,#2c2728,#db1873,#aae572,#F5F5F5
Corporate Shadow Dark,Dark / Professional,#1c1c1d,#2f2f32,#5b26d9,#e59272,#F5F5F5
Dark Ember Dark,Dark / Professional,#18181a,#292a2c,#4349f9,#e57278,#F5F5F5
Deep Shadow Bold,Bold / Artistic,#111165,#191998,#fffe19,#FFFFFF,#FFFFFF
Vibrant Velvet Light,Light / SaaS,#FFFFFF,#F4F6F8,#be4e38,#2dc6e5,#1A202C
Ocean Ember Dark,Dark / Professional,#161513,#292724,#599de0,#e572ae,#F5F5F5
Royal Lagoon Bold,Bold / Artistic,#1c0b3d,#331470,#b2ff19,#FFFFFF,#FFFFFF
Soft Midnight Dark,Dark / Professional,#181716,#2b2a27,#dcd627,#72e5df,#F5F5F5
Dark Obsidian Bold,Bold / Artistic,#341505,#67290a,#19b2ff,#FFFFFF,#FFFFFF
Electric Velvet Dark,Dark / Professional,#1d2321,#2d3734,#f81d66,#9be572,#F5F5F5
Electric Iron Bold,Bold / Artistic,#343e06,#60710b,#3f19ff,#FFFFFF,#FFFFFF
Elegant Frost Bold,Bold / Artistic,#5e4006,#916409,#1965ff,#FFFFFF,#FFFFFF
Corporate Obsidian Dark,Dark / Professional,#19171a,#2b272c,#934ad3,#e5ad72,#F5F5F5
Soft Steel Light,Light / SaaS,#FFFFFF,#F4F6F8,#01c4a3,#e52d4c,#1A202C
Soft Horizon Dark,Dark / Professional,#1f1e19,#302f26,#f2d235,#72e5d0,#F5F5F5
Vintage Frost Light,Light / SaaS,#FFFFFF,#F4F6F8,#c6aa1f,#2d4ce5,#1A202C
Future Shadow Light,Light / SaaS,#FFFFFF,#F4F6F8,#c78e1c,#2d6be5,#1A202C
Modern Canvas Dark,Dark / Professional,#1c1b1a,#2c2a28,#ecb547,#72e5bc,#F5F5F5
Tech Mist Light,Light / SaaS,#FFFFFF,#F4F6F8,#12db98,#e52d6b,#1A202C
Slate Horizon Light,Light / SaaS,#FFFFFF,#F4F6F8,#960bdc,#6be52d,#1A202C
Elegant Copper Dark,Dark / Professional,#20241f,#363e35,#65d04f,#7288e5,#F5F5F5
Elegant Sunset Light,Light / SaaS,#FFFFFF,#F4F6F8,#44c22b,#c62de5,#1A202C
Modern Frost Dark,Dark / Professional,#0a0c0c,#171b1b,#db2626,#75e572,#F5F5F5
Slate Ember Bold,Bold / Artistic,#422d02,#755004,#1965ff,#FFFFFF,#FFFFFF
Natural Ember Dark,Dark / Professional,#0f1110,#262b28,#38d285,#a972e5,#F5F5F5
Vibrant Nebula Bold,Bold / Artistic,#214200,#3a7500,#8c19ff,#FFFFFF,#FFFFFF
Tech Quartz Light,Light / SaaS,#FFFFFF,#F4F6F8,#b93661,#2de5a8,#1A202C
Ocean Desert Light,Light / SaaS,#FFFFFF,#F4F6F8,#6336be,#a8e52d,#1A202C
Elegant Canvas Dark,Dark / Professional,#121511,#242a23,#d443f0,#e5d072,#F5F5F5
Silent Copper Light,Light / SaaS,#FFFFFF,#F4F6F8,#c1a728,#2d4ce5,#1A202C
Electric Copper Dark,Dark / Professional,#221c1c,#302828,#f97035,#72e592,#F5F5F5
Dark Mist Dark,Dark / Professional,#12110f,#25231e,#cec92e,#72e5df,#F5F5F5
Natural Glacier Bold,Bold / Artistic,#43430b,#767614,#1919ff,#FFFFFF,#FFFFFF
Crimson Quartz Light,Light / SaaS,#FFFFFF,#F4F6F8,#2fc1de,#e54c2d,#1A202C
Slate Obsidian Light,Light / SaaS,#FFFFFF,#F4F6F8,#246eb8,#e5892d,#1A202C
Silent Desert Dark,Dark / Professional,#1d1e1f,#2d2f31,#2b80d5,#e572ae,#F5F5F5
Royal Quartz Dark,Dark / Professional,#141415,#28282a,#4c60dd,#e57284,#F5F5F5
Corporate Iron Light,Light / SaaS,#FFFFFF,#F4F6F8,#28c7c7,#e52d2d,#1A202C
Crimson Forest Dark,Dark / Professional,#141514,#202220,#3fdd27,#7284e5,#F5F5F5
Tech Glacier Light,Light / SaaS,#FFFFFF,#F4F6F8,#0025dd,#e5c62d,#1A202C
Electric Glacier Dark,Dark / Professional,#252520,#32322c,#eded50,#72e5e3,#F5F5F5
Silent Ember Bold,Bold / Artistic,#35081f,#68113c,#19ff8c,#FFFFFF,#FFFFFF
Muted Obsidian Dark,Dark / Professional,#161515,#2b2929,#e37344,#72e592,#F5F5F5
Vintage Midnight Dark,Dark / Professional,#1a191a,#312e30,#d019ec,#e5d372,#F5F5F5
Modern Forest Dark,Dark / Professional,#0f0d0d,#292324,#dc1f77,#aae572,#F5F5F5
Electric Iron Dark,Dark / Professional,#1f1c22,#36313a,#4c20f9,#e58772,#F5F5F5
Deep Copper Dark,Dark / Professional,#0f0e0d,#1e1c1b,#469fcc,#e572c1,#F5F5F5
Dark Steel Bold,Bold / Artistic,#3f0909,#721010,#19ffff,#FFFFFF,#FFFFFF
Crimson Ember Bold,Bold / Artistic,#5e280d,#913e15,#19b2ff,#FFFFFF,#FFFFFF
Natural Quartz Dark,Dark / Professional,#211c21,#362d36,#981ecc,#e5c072,#F5F5F5
Future Iron Light,Light / SaaS,#FFFFFF,#F4F6F8,#23a1ba,#e54c2d,#1A202C
Modern Canvas Light,Light / SaaS,#FFFFFF,#F4F6F8,#cf10af,#2de54c,#1A202C
Dark Onyx Light,Light / SaaS,#FFFFFF,#F4F6F8,#68bf11,#892de5,#1A202C
Vintage Ember Dark,Dark / Professional,#191617,#2f292b,#37d9a3,#bc72e5,#F5F5F5
Electric Forest Bold,Bold / Artistic,#074912,#0c7c1e,#ff19d8,#FFFFFF,#FFFFFF
Modern Iron Light,Light / SaaS,#FFFFFF,#F4F6F8,#e0149c,#2de56b,#1A202C
Vibrant Steel Light,Light / SaaS,#FFFFFF,#F4F6F8,#b7d717,#4c2de5,#1A202C
